1 cursor=3257052 bytes=648
2 cursor=3257112 bytes=60
3 cursor=3257135 bytes=23
4 cursor=3257328 bytes=193
5 cursor=3258137 bytes=809
6 cursor=3258200 bytes=63
7 cursor=3258349 bytes=149
8 cursor=3258349 bytes=0
9 cursor=3261093 bytes=2744
10 cursor=3265189 bytes=4096
11 cursor=3266080 bytes=891
12 cursor=3266080 bytes=0
13 cursor=3266080 bytes=0
14 cursor=3266080 bytes=0
15 cursor=3266080 bytes=0
16 cursor=3266080 bytes=0
17 cursor=3266080 bytes=0
18 cursor=3266080 bytes=0
19 cursor=3266080 bytes=0
20 cursor=3266080 bytes=0
21 cursor=3266080 bytes=0
22 cursor=3266080 bytes=0
23 cursor=3266080 bytes=0
24 cursor=3266080 bytes=0
